City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,Ilulissat,69.2167,-51.1,-33.55000000000001,73,1,3.38,GL,1674034542
125,Bambous Virieux,-20.3428,57.7575,28.29000000000002,74,75,8.23,MU,1674034543
126,Kodiak,57.79,-152.4072,-1.1200000000000045,64,0,4.63,US,1674034404
127,Chancay,-11.5714,-77.2672,20.480000000000018,83,100,1.36,PE,1674034544
128,Anadyr,64.75,177.4833,-28.569999999999993,69,0,4.0,RU,1674034545
129,Havelock,34.8791,-76.9013,12.129999999999995,88,0,2.06,US,1674034545
130,Nadym,65.5333,72.5167,-11.759999999999991,95,100,1.29,RU,1674034546
131,Katobu,-4.9408,122.5276,26.269999999999982,84,80,0.65,ID,1674034547
132,Bathsheba,13.2167,-59.5167,25.49000000000001,73,40,6.17,BB,1674034548
133,Pemangkat,1.1667,108.9667,27.379999999999995,75,91,5.75,ID,1674034548
134,Amapa,1.0,-52.0,21.079999999999984,99,100,0.88,BR,1674034503
135,Yangambi,0.8102,24.4336,34.89999999999998,36,4,0.78,CD,1674034550
136,Jalu,29.0331,21.5482,18.480000000000018,33,0,5.4,LY,1674034551
137,Srednekolymsk,67.45,153.6833,-41.860000000000014,100,92,1.94,RU,1674034552
138,Orsha,54.5153,30.4053,2.230000000000018,100,100,7.74,BY,1674034553
139,Avesta,60.1455,16.1679,1.4800000000000182,97,100,4.79,SE,1674034553
140,Labuhan,-6.8844,112.2051,26.94999999999999,83,100,5.65,ID,1674034554
141,Honningsvag,70.9821,25.9704,-1.990000000000009,74,100,9.77,NO,1674034488
142,Carnarvon,-24.8667,113.6333,27.019999999999982,67,6,9.87,AU,1674034555
143,Ulcinj,41.9294,19.2244,16.25,76,78,8.13,ME,1674034556
144,Inhambane,-23.865,35.3833,33.139999999999986,58,40,5.14,MZ,1674034558
145,Teguise,29.0605,-13.564,15.269999999999982,88,40,3.6,ES,1674034559
146,Aklavik,68.2191,-135.0107,-26.94999999999999,99,99,1.62,CA,1674034560
147,Grindavik,63.8424,-22.4338,-6.589999999999975,68,20,2.06,IS,1674034560
148,Arlit,18.7369,7.3853,22.529999999999973,12,30,1.62,NE,1674034561
149,Tongren,27.7172,109.1853,8.550000000000011,39,90,1.95,CN,1674034562
150,Chahal,15.75,-89.5667,18.910000000000025,99,78,1.35,GT,1674034563
151,Totoral,-17.4053,-70.365,15.589999999999975,71,49,0.13,PE,1674034563
152,Lasa,46.6166,10.7002,1.089999999999975,83,88,0.61,IT,1674034564
153,Berlevag,70.8578,29.0864,-3.8500000000000227,63,0,8.75,NO,1674034566
154,Fortuna,40.5982,-124.1573,4.550000000000011,94,0,2.06,US,1674034566
155,Nouadhibou,20.931,-17.0347,17.139999999999986,67,6,8.75,MR,1674034567
156,Emerald,-23.5333,148.1667,25.899999999999977,66,23,5.32,AU,1674034568
157,Nuuk,64.1835,-51.7216,-11.370000000000005,81,100,4.99,GL,1674034463
158,Lebu,-37.6167,-73.65,12.410000000000025,91,61,4.18,CL,1674034569
159,Mahebourg,-20.4081,57.7,28.310000000000002,74,75,8.23,MU,1674034570
160,Front Royal,38.9182,-78.1944,12.439999999999998,50,0,3.09,US,1674034571
161,Faanui,-16.4833,-151.75,26.889999999999986,74,19,4.89,PF,1674034572
162,Zanjan,36.6736,48.4787,-2.019999999999982,80,100,2.06,IR,1674034572
163,Kununurra,-15.7667,128.7333,27.139999999999986,89,100,4.12,AU,1674034573
164,Urgut,39.4022,67.2431,2.9399999999999977,83,67,1.26,UZ,1674034574
165,Guerrero Negro,27.9769,-114.0611,13.95999999999998,62,21,6.18,MX,1674034575
166,Chuy,-33.6971,-53.4616,21.94999999999999,75,1,4.18,UY,1674034576
167,Chai Badan,15.2,101.1333,29.529999999999973,38,12,5.13,TH,1674034576
168,Tasiilaq,65.6145,-37.6368,-13.759999999999991,70,73,2.51,GL,1674034577
169,Neftcala,39.3742,49.2472,9.04000000000002,68,98,0.93,AZ,1674034578
170,Tuktoyaktuk,69.4541,-133.0374,-21.710000000000008,98,100,3.79,CA,1674034579
171,Hurghada,27.2574,33.8129,19.99000000000001,51,0,3.52,EG,1674034579
172,Medyn,54.9692,35.8586,1.3600000000000136,99,100,5.33,RU,1674034580
173,Sioux Lookout,50.1001,-91.917,-17.810000000000002,85,0,0.0,CA,1674034581
174,Yacuiba,-22.038,-63.6797,24.629999999999995,61,88,0.91,BO,1674034582
175,Labytnangi,66.6572,66.4183,-12.25,89,97,2.58,RU,1674034583
176,Hithadhoo,-0.6,73.0833,27.55000000000001,65,12,2.84,MV,1674034583
177,Avarua,-21.2078,-159.775,24.180000000000007,94,75,3.09,CK,1674034584
178,Kondinskoye,59.6481,67.41,-8.660000000000025,90,100,4.24,RU,1674034585
179,Garhi Yasin,27.9069,68.511,20.160000000000025,9,5,2.94,PK,1674034586
180,Gushikawa,26.3544,127.8686,16.720000000000027,64,100,5.14,JP,1674034587
181,Una,20.8167,71.0333,27.49000000000001,25,0,1.65,IN,1674034588
182,Namibe,-15.1961,12.1522,27.5,61,75,2.57,AO,1674034589
183,Meulaboh,4.1363,96.1285,27.100000000000023,72,97,1.94,ID,1674034590
184,Zhigansk,66.7697,123.3711,-49.639999999999986,98,30,1.66,RU,1674034591
185,Hobyo,5.3505,48.5268,27.49000000000001,59,48,10.11,SO,1674034591
186,San Quintin,30.4833,-115.95,12.529999999999973,66,51,3.89,MX,1674034592
187,Celestun,20.8667,-90.4,20.819999999999993,84,36,6.28,MX,1674034593
188,East London,-33.0153,27.9116,29.670000000000016,74,0,4.12,ZA,1674034594
189,Kangaatsiaq,68.3065,-53.4641,-28.639999999999986,90,39,4.07,GL,1674034594
190,Charters Towers,-20.1,146.2667,23.639999999999986,80,74,4.54,AU,1674034595
191,Evensk,61.95,159.2333,-18.319999999999993,74,100,5.25,RU,1674034596
192,Steinbach,50.1667,8.5667,2.7099999999999795,71,0,2.57,DE,1674034597
193,Ribeira Grande,38.5167,-28.7,11.370000000000005,71,20,4.02,PT,1674034598
194,Mehamn,71.0357,27.8492,-3.8799999999999955,68,0,5.14,NO,1674034598
195,Papetoai,-17.4961,-149.8729,25.920000000000016,79,1,5.49,PF,1674034599
196,Pingliang,35.5392,106.6861,-2.569999999999993,39,83,4.6,CN,1674034600
197,Romanovo,52.6182,81.2271,-16.129999999999995,95,14,2.97,RU,1674034601
198,Bengkulu,-3.8004,102.2655,26.579999999999984,83,100,1.93,ID,1674034601
199,Staroaleyskoye,51.0061,82.0,-15.639999999999986,96,8,1.86,RU,1674034603
200,Akcakoca,41.0866,31.1162,15.5,51,100,4.08,TR,1674034604
201,Zelenoborsk,61.4669,64.0333,-7.730000000000018,88,88,3.51,RU,1674034604
202,Port Elizabeth,-33.918,25.5701,33.31,55,0,1.54,ZA,1674034606
203,Gallup,35.5281,-108.7426,-3.430000000000007,89,100,0.89,US,1674034606
204,Listvyagi,53.6772,86.951,-9.110000000000014,78,100,3.62,RU,1674034607
205,Mantua,45.1667,10.7833,4.089999999999975,88,85,2.2,IT,1674034608
206,Touros,-5.1989,-35.4608,27.220000000000027,74,73,6.32,BR,1674034609
207,Caraquet,47.7941,-64.9386,0.44999999999998863,98,100,2.66,CA,1674034609
208,Adrar,20.5022,-10.0711,20.310000000000002,15,87,4.6,MR,1674034610
209,Berdigestyakh,62.0989,126.6992,-47.0,99,100,0.88,RU,1674034611
210,Huejuquilla El Alto,22.6,-103.8667,5.25,48,50,0.56,MX,1674034612
211,Egvekinot,66.3167,-179.1667,-28.879999999999995,85,35,5.08,RU,1674034613
212,Kahului,20.8947,-156.47,22.839999999999975,82,0,2.06,US,1674034327
213,Lompoc,34.6391,-120.4579,6.779999999999973,87,0,3.09,US,1674034614
214,Russell,32.3502,-85.1999,14.720000000000027,94,100,0.0,US,1674034615
